Unnamed: 0,Time,Lat,Lon,Street,Visibility(km),Wind_Speed(km/h),Precipitation(mm),Astronomical_Twilight,road_closure,Date
0,08:00:00,40.770107,-73.957397,East 74th Street,16.09,9.33,,Day,True,2016-12-01
1,08:30:00,40.849579,-73.942314,George Washington Bridge,16.09,14.81,,Day,True,2016-12-01
2,12:00:00,40.74802800000001,-73.96817,FDR Drive,16.09,,,Day,True,2016-12-01
3,05:00:00,40.761723,-73.982803,7th Avenue,16.09,14.81,,Night,False,2016-12-02
4,07:00:00,40.782818,-73.943871,East 96th Street,16.09,7.4,,Day,True,2016-12-02
5,11:30:00,40.80127,-73.929916,Robert F Kennedy Bridge,16.09,14.81,,Day,False,2016-12-02
6,12:00:00,40.80127,-73.929916,Robert F Kennedy Bridge,16.09,11.1,,Day,True,2016-12-02
7,12:30:00,40.847115,-73.92851999999998,Harlem River Drive North,16.09,11.1,,Day,False,2016-12-02
8,18:30:00,40.744907,-73.970863,FDR Drive,16.09,,,Night,True,2016-12-04
9,06:00:00,40.793903,-73.932022,FDR Drive,4.83,,1.02,Day,False,2016-12-05
10,13:30:00,40.811199,-73.961563,Broadway,16.09,,,Day,False,2016-12-05
11,15:30:00,40.735397,-73.974899,FDR Drive,,13.04,,Day,False,2016-12-05
12,20:00:00,40.851543,-73.95208000000002,George Washington Bridge,16.09,,,Night,True,2016-12-05
13,07:30:00,40.84584,-73.931061,5th Avenue,16.09,,,Day,False,2016-12-06
14,08:30:00,40.850067,-73.944817,George Washington Bridge,16.09,,,Day,False,2016-12-06
15,10:00:00,40.850067,-73.944817,George Washington Bridge,16.09,7.4,,Day,True,2016-12-06
16,16:00:00,40.804005,-73.927925,WillisAvenue Bridge,16.09,7.4,,Day,True,2016-12-06
17,20:30:00,40.836906,-73.948929,Henry Hudson Parkway,8.05,16.74,2.54,Night,True,2016-12-06
18,06:30:00,40.731255,-73.973656,FDR Drive,,16.74,,Day,False,2016-12-07
19,11:30:00,40.797249,-73.920357,Robert F Kennedy Bridge West,9.66,5.63,,Day,True,2016-12-07
20,07:00:00,40.821339,-73.958702,Henry Hudson Parkway,16.09,7.4,,Day,False,2016-12-08
21,09:30:00,40.765228,-73.951904,FDR Drive,,,,Day,True,2016-12-08
22,09:30:00,40.758644,-73.981323,West 48th Street,,,,Day,True,2016-12-08
23,16:30:00,40.74802800000001,-73.96817,FDR Drive,,,,Day,False,2016-12-08
24,09:30:00,40.769855,-73.984306,Columbus Avenue,,,,Day,True,2016-12-09
25,09:30:00,40.78204,-73.94413,FDR Drive,,,,Day,False,2016-12-09
26,15:00:00,40.84977,-73.942841,George Washington Bridge,16.09,16.74,,Day,True,2016-12-09
27,16:00:00,40.782818,-73.943871,East 96th Street,16.09,,,Day,False,2016-12-09
28,19:00:00,40.851543,-73.95208000000002,George Washington Bridge,16.09,18.51,,Night,False,2016-12-09
29,12:00:00,40.746449,-73.974663,2nd Avenue,16.09,9.33,,Day,True,2016-12-11
30,15:00:00,40.715023,-73.976288,FDR Drive,,14.81,,Day,True,2016-12-11
31,22:30:00,40.731255,-73.973656,FDR Drive,,14.81,,Night,True,2016-12-11
32,05:30:00,40.718971,-73.974968,E Houston Street,,13.04,250.19,Day,True,2016-12-12
33,08:00:00,40.815041,-73.934212,Harlem River Drive North,8.05,13.04,1.78,Day,False,2016-12-12
34,08:00:00,40.785564,-73.984062,Henry Hudson Parkway,8.05,9.33,0.0,Day,False,2016-12-12
35,08:00:00,40.80127,-73.929916,Robert F Kennedy Bridge,8.05,9.33,0.0,Day,True,2016-12-12
36,08:30:00,40.826313,-73.954613,Henry Hudson Parkway,8.05,9.33,0.0,Day,False,2016-12-12
37,10:00:00,40.707687,-74.000076,FDR Drive,,18.51,,Day,True,2016-12-12
38,13:30:00,40.782818,-73.943871,East 96th Street,16.09,11.1,,Day,True,2016-12-12
39,20:00:00,40.707687,-74.000076,FDR Drive,,13.04,,Night,True,2016-12-12
40,06:00:00,40.80127,-73.929916,Robert F Kennedy Bridge,16.09,5.63,,Day,True,2016-12-13
41,08:00:00,40.77026400000001,-73.947754,FDR Drive,16.09,7.4,,Day,False,2016-12-13
42,09:30:00,40.84584,-73.931061,5th Avenue,16.09,9.33,,Day,True,2016-12-13
43,10:00:00,40.834126,-73.949951,Marginal Street,16.09,9.33,,Day,True,2016-12-13
44,12:30:00,40.850067,-73.944817,George Washington Bridge,16.09,,,Day,False,2016-12-13
45,18:00:00,40.849632,-73.942589,George Washington Bridge,16.09,7.4,,Night,False,2016-12-13
46,18:30:00,40.850067,-73.944817,George Washington Bridge,16.09,,,Night,True,2016-12-13
47,06:00:00,40.80416500000001,-73.931038,Harlem River Drive North,14.48,11.1,,Day,False,2016-12-14
48,16:30:00,40.782818,-73.943871,East 96th Street,16.09,,,Day,True,2016-12-14
49,19:30:00,40.714493,-73.976715,FDR Drive,,20.44,252.98,Night,True,2016-12-14
