,Unnamed: 0.1,Unnamed: 0,Time,Lat,Lon,Street,Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Astronomical_Twilight
0,0,0,2016-12-01 08:21:11,40.770107,-73.957397,East 74th Street,10.0,5.8,,Mostly Cloudy,Day
1,1,1,2016-12-01 08:49:35,40.849579,-73.942314,George Washington Bridge,10.0,9.2,,Clear,Day
2,2,2,2016-12-01 12:08:26,40.74802800000001,-73.96817,FDR Drive,10.0,,,Clear,Day
3,3,3,2016-12-02 05:19:11,40.761723,-73.982803,7th Avenue,10.0,9.2,,Partly Cloudy,Night
4,4,4,2016-12-02 07:09:04,40.782818,-73.943871,East 96th Street,10.0,4.6,,Clear,Day
5,5,5,2016-12-02 11:43:21,40.80127,-73.929916,Robert F Kennedy Bridge,10.0,9.2,,Clear,Day
6,6,6,2016-12-02 12:27:57,40.80127,-73.929916,Robert F Kennedy Bridge,10.0,6.9,,Mostly Cloudy,Day
7,7,7,2016-12-02 12:35:15,40.847115,-73.92851999999998,Harlem River Drive North,10.0,6.9,,Mostly Cloudy,Day
8,8,8,2016-12-04 18:55:32,40.744907,-73.970863,FDR Drive,10.0,,,Clear,Night
9,9,9,2016-12-05 06:08:35,40.793903,-73.932022,FDR Drive,3.0,,0.04,Light Rain,Day
10,10,10,2016-12-05 13:37:20,40.811199,-73.961563,Broadway,10.0,,,Clear,Day
11,11,11,2016-12-05 15:35:00,40.735397,-73.974899,FDR Drive,,8.1,,Scattered Clouds,Day
12,12,12,2016-12-05 20:19:48,40.851543,-73.95208000000002,George Washington Bridge,10.0,,,Clear,Night
13,13,13,2016-12-06 07:32:15,40.84584,-73.931061,5th Avenue,10.0,,,Clear,Day
14,14,14,2016-12-06 08:39:14,40.850067,-73.944817,George Washington Bridge,10.0,,,Clear,Day
15,15,15,2016-12-06 10:25:28,40.850067,-73.944817,George Washington Bridge,10.0,4.6,,Clear,Day
16,16,16,2016-12-06 16:04:06,40.804005,-73.927925,WillisAvenue Bridge,10.0,4.6,,Overcast,Day
17,17,17,2016-12-06 20:58:21,40.836906,-73.948929,Henry Hudson Parkway,5.0,10.4,0.1,Light Rain,Night
18,18,18,2016-12-07 06:31:07,40.731255,-73.973656,FDR Drive,,10.4,,Overcast,Day
19,19,19,2016-12-07 11:46:24,40.797249,-73.920357,Robert F Kennedy Bridge West,6.0,3.5,,Overcast,Day
20,20,20,2016-12-08 07:00:01,40.821339,-73.958702,Henry Hudson Parkway,10.0,4.6,,Partly Cloudy,Day
21,21,21,2016-12-08 09:51:52,40.765228,-73.951904,FDR Drive,,,,,Day
22,22,22,2016-12-08 09:57:23,40.758644,-73.981323,West 48th Street,,,,,Day
23,23,23,2016-12-08 16:38:57,40.74802800000001,-73.96817,FDR Drive,,,,,Day
24,24,24,2016-12-09 09:39:32,40.769855,-73.984306,Columbus Avenue,,,,,Day
25,25,25,2016-12-09 09:38:30,40.78204,-73.94413,FDR Drive,,,,,Day
26,26,26,2016-12-09 15:18:30,40.84977,-73.942841,George Washington Bridge,10.0,10.4,,Mostly Cloudy,Day
27,27,27,2016-12-09 16:09:16,40.782818,-73.943871,East 96th Street,10.0,,,Overcast,Day
28,28,28,2016-12-09 19:25:38,40.851543,-73.95208000000002,George Washington Bridge,10.0,11.5,,Clear,Night
29,29,29,2016-12-11 12:06:01,40.746449,-73.974663,2nd Avenue,10.0,5.8,,Overcast,Day
30,30,30,2016-12-11 15:25:11,40.715023,-73.976288,FDR Drive,,9.2,,Overcast,Day
31,31,31,2016-12-11 22:30:08,40.731255,-73.973656,FDR Drive,,9.2,,Overcast,Night
32,32,32,2016-12-12 05:41:08,40.718971,-73.974968,E Houston Street,,8.1,9.85,Overcast,Day
33,33,33,2016-12-12 08:07:59,40.815041,-73.934212,Harlem River Drive North,5.0,8.1,0.07,Light Rain,Day
34,34,34,2016-12-12 08:24:33,40.785564,-73.984062,Henry Hudson Parkway,5.0,5.8,0.0,Overcast,Day
35,35,35,2016-12-12 08:27:12,40.80127,-73.929916,Robert F Kennedy Bridge,5.0,5.8,0.0,Overcast,Day
36,36,36,2016-12-12 08:49:52,40.826313,-73.954613,Henry Hudson Parkway,5.0,5.8,0.0,Overcast,Day
37,37,37,2016-12-12 10:23:22,40.707687,-74.000076,FDR Drive,,11.5,,Overcast,Day
38,38,38,2016-12-12 13:48:04,40.782818,-73.943871,East 96th Street,10.0,6.9,,Scattered Clouds,Day
39,39,39,2016-12-12 20:04:35,40.707687,-74.000076,FDR Drive,,8.1,,Clear,Night
40,40,40,2016-12-13 06:00:08,40.80127,-73.929916,Robert F Kennedy Bridge,10.0,3.5,,Clear,Day
41,41,41,2016-12-13 08:00:17,40.77026400000001,-73.947754,FDR Drive,10.0,4.6,,Clear,Day
42,42,42,2016-12-13 09:31:26,40.84584,-73.931061,5th Avenue,10.0,5.8,,Clear,Day
43,43,43,2016-12-13 10:10:51,40.834126,-73.949951,Marginal Street,10.0,5.8,,Clear,Day
44,44,44,2016-12-13 12:54:00,40.850067,-73.944817,George Washington Bridge,10.0,,,Clear,Day
45,45,45,2016-12-13 18:17:50,40.849632,-73.942589,George Washington Bridge,10.0,4.6,,Clear,Night
46,46,46,2016-12-13 18:41:57,40.850067,-73.944817,George Washington Bridge,10.0,,,Clear,Night
47,47,47,2016-12-14 06:10:01,40.80416500000001,-73.931038,Harlem River Drive North,9.0,6.9,,Clear,Day
48,48,48,2016-12-14 16:48:08,40.782818,-73.943871,East 96th Street,10.0,,,Clear,Day
49,49,49,2016-12-14 19:50:53,40.714493,-73.976715,FDR Drive,,12.7,9.96,Clear,Night
50,50,50,2016-12-15 06:52:32,40.760159,-73.957504,FDR Drive,10.0,11.5,,Partly Cloudy,Day
51,51,51,2016-12-15 07:32:42,40.760159,-73.957504,FDR Drive,10.0,11.5,,Scattered Clouds,Day
52,52,52,2016-12-15 10:01:38,40.845932,-73.93145799999998,5th Avenue,5.0,13.8,,Haze,Day
53,53,53,2016-12-15 10:30:45,40.707687,-74.000076,FDR Drive,,4.6,,Overcast,Day
54,54,54,2016-12-15 10:48:30,40.711872,-74.004005,Brooklyn Bridge,,4.6,0.07,Overcast,Day
55,55,55,2016-12-15 10:44:41,40.71051,-73.984741,FDR Drive,,3.5,0.05,Overcast,Day
56,56,56,2016-12-15 14:25:16,40.735397,-73.974899,FDR Drive,,4.6,,Overcast,Day
57,57,57,2016-12-15 16:43:33,40.851543,-73.95208000000002,George Washington Bridge,10.0,9.2,,Clear,Day
58,58,58,2016-12-16 06:51:49,40.790394,-73.936745,FDR Drive,10.0,10.4,,Clear,Day
59,59,59,2016-12-16 07:00:12,40.782818,-73.943871,East 96th Street,10.0,10.4,,Clear,Day
60,60,60,2016-12-16 10:24:23,40.84584,-73.931061,5th Avenue,10.0,6.9,,Clear,Day
61,61,61,2016-12-16 10:56:18,40.782818,-73.943871,East 96th Street,10.0,6.9,,Clear,Day
62,62,62,2016-12-16 15:36:57,40.868729,-73.931107,Dyckman Street,10.0,10.4,,Mostly Cloudy,Day
63,63,63,2016-12-16 17:36:50,40.707687,-74.000076,FDR Drive,,9.2,,Overcast,Day
64,64,64,2016-12-16 20:38:42,40.80127,-73.929916,Robert F Kennedy Bridge,10.0,4.6,,Overcast,Night
65,65,65,2016-12-17 02:55:35,40.850067,-73.944817,George Washington Bridge,10.0,3.5,,Overcast,Night
66,66,66,2016-12-18 14:55:48,40.759762,-73.960991,Ed Koch Queensboro Bridge West,10.0,10.4,0.01,Overcast,Day
67,67,67,2016-12-19 06:18:18,40.735397,-73.974899,FDR Drive,,5.8,,Clear,Day
68,68,68,2016-12-19 07:01:14,40.717396,-73.99131,Grand Street,,8.1,,Clear,Day
69,69,69,2016-12-19 07:42:11,40.718971,-73.974968,E Houston Street,,5.8,,Clear,Day
70,70,70,2016-12-19 10:13:51,40.84584,-73.931061,5th Avenue,10.0,5.8,,Clear,Day
71,71,71,2016-12-19 10:28:10,40.80127,-73.929916,Robert F Kennedy Bridge,10.0,12.7,,Clear,Day
72,72,72,2016-12-19 11:39:08,40.731255,-73.973656,FDR Drive,,4.6,,Clear,Day
73,73,73,2016-12-20 04:19:18,40.765228,-73.951904,FDR Drive,10.0,5.8,,Clear,Night
74,74,74,2016-12-20 07:05:16,40.84584,-73.931061,5th Avenue,10.0,,,Clear,Day
75,75,75,2016-12-20 07:36:29,40.71030800000001,-73.988129,Jefferson Street,,4.6,,Clear,Day
76,76,76,2016-12-20 15:52:02,40.782818,-73.943871,East 96th Street,10.0,,,Clear,Day
77,77,77,2016-12-20 19:57:04,40.735397,-73.974899,FDR Drive,,8.1,,Clear,Night
78,78,78,2016-12-20 19:57:41,40.851543,-73.95208000000002,George Washington Bridge,10.0,4.6,,Clear,Night
79,79,79,2016-12-21 05:12:15,40.759968,-73.964798,2nd Avenue,10.0,3.5,,Clear,Night
80,80,80,2016-12-21 06:22:30,40.850067,-73.944817,George Washington Bridge,10.0,,,Clear,Day
81,81,81,2016-12-21 10:50:36,40.84584,-73.931061,5th Avenue,10.0,3.5,,Clear,Day
82,82,82,2016-12-21 19:27:21,40.851543,-73.95208000000002,George Washington Bridge,10.0,6.9,,Clear,Night
83,83,83,2016-12-22 06:42:57,40.850067,-73.944817,George Washington Bridge,10.0,4.6,,Overcast,Day
84,84,84,2016-12-22 14:56:27,40.792259,-73.948425,East 105th Street,10.0,8.1,,Clear,Day
85,85,85,2016-12-22 16:44:47,40.851543,-73.95208000000002,George Washington Bridge,10.0,8.1,,Overcast,Day
86,86,86,2016-12-22 17:36:11,40.754799,-73.962135,FDR Drive,10.0,8.1,,Overcast,Day
87,87,87,2016-12-22 19:45:15,40.851543,-73.95208000000002,George Washington Bridge,10.0,10.4,,Clear,Night
88,88,88,2016-12-22 20:17:53,40.851543,-73.95208000000002,George Washington Bridge,10.0,10.4,,Clear,Night
89,89,89,2016-12-23 11:42:34,40.82164,-73.939072,West 145th Street,10.0,5.8,,Clear,Day
90,90,90,2016-12-23 14:56:03,40.830685,-73.935013,Harlem River Drive North,10.0,5.8,,Clear,Day
91,91,91,2016-12-23 15:36:57,40.815041,-73.934212,Harlem River Drive North,10.0,5.8,,Clear,Day
