restaurant_name,restaurant_location,day_of_the_week,dish_name,preparation_time
Hangawi,"(40.7466917, -73.9846896)",Weekend,Bulgogi,18
Hangawi,"(40.7466917, -73.9846896)",Weekend,Kimchi,12
Cafe Habana,"(40.7228449, -73.9942284)",Weekday,Tacos,13
Cafe Habana,"(40.7228449, -73.9942284)",Weekday,Guacamole,12
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Buffalo Chicken Wings,15
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Hot Dogs,12
Tamarind TriBeCa,"(40.7191453, -74.0089504)",Weekday,Lamb Saag,17
Tamarind TriBeCa,"(40.7191453, -74.0089504)",Weekday,Samosa,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Pasta alla Gricia,15
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
Barbounia,"(40.7382829, -73.9880343)",Weekday,Mediterranean Quinoa Salad,14
Barbounia,"(40.7382829, -73.9880343)",Weekday,Garlicky Sautéed Shrimp with Creamy White Beans and Blistered Tomatoes,19
Big Wong Restaurant _¤¾Ñ¼,"(40.716997, -73.9591501)",Weekday,Chow Mein,18
Big Wong Restaurant _¤¾Ñ¼,"(40.716997, -73.9591501)",Weekday,Dumplings,16
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,French Fries,15
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Hot Dogs,12
Pylos,"(40.7261637, -73.9840813)",Weekend,Armenian Losh Kebab,18
Pylos,"(40.7261637, -73.9840813)",Weekend,Greek Salad,13
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Reuben Sandwich,18
Shake Shack,"(40.7513742, -73.9878729)",Weekend,French Fries,15
Sushi of Gari,"(40.7713448, -73.95278)",Weekend,Yakisoba (noodles saltati),18
Sushi of Gari,"(40.7713448, -73.95278)",Weekend,Nigiri,12
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Hot Pot,18
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Sweet and Sour Pork Fillet,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Tsukemono (sottaceti),16
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Sashimi,19
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Apple Pie,15
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Pizza,20
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Hot Dogs,12
Tortaria,"(40.7338759, -73.993044)",Weekend,Tamales,14
Tortaria,"(40.7338759, -73.993044)",Weekend,Chiles en Nogada,19
Cafe Mogador,"(40.7273469, -73.984402)",Weekday,Baba Ghannouj,20
Cafe Mogador,"(40.7273469, -73.984402)",Weekday,Hummus,13
Cafe Mogador,"(40.7273469, -73.984402)",Weekday,Jewelled rice,20
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Pizza,20
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Arancini,13
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekday,Yakisoba (noodles saltati),16
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekday,Nigiri,12
The Kati Roll Company,"(40.7526965, -73.9846551)",Weekend,Dosa,20
The Kati Roll Company,"(40.7526965, -73.9846551)",Weekend,Samosa,12
Klong,"(40.7294123, -73.9892486)",Weekend,Thai Fried Rice,16
Klong,"(40.7294123, -73.9892486)",Weekend,Pad Thai,19
5 Napkin Burger,"(40.7601614, -73.9911074)",Weekday,Hot Dogs,11
5 Napkin Burger,"(40.7601614, -73.9911074)",Weekday,Pizza,20
5 Napkin Burger,"(40.7601614, -73.9911074)",Weekday,Hot Dogs,12
TAO,"(40.7625746, -73.9714449)",Weekend,Nigiri,10
TAO,"(40.7625746, -73.9714449)",Weekend,Kaiseki,20
TAO,"(40.7625746, -73.9714449)",Weekend,Nigiri,12
Parm,"(40.7230381, -73.9957182)",Weekend,Lasagna,19
Parm,"(40.7230381, -73.9957182)",Weekend,Arancini,13
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Miso Soup,18
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Nigiri,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Pasta Carbonara,13
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Rigatoni all'Amatriciana,18
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Apple Pie,15
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
TAO,"(40.7625746, -73.9714449)",Weekend,Ichiju-ju,16
TAO,"(40.7625746, -73.9714449)",Weekend,Nigiri,12
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Sweet and Sour Pork Fillet,13
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Sweet and Sour Pork Fillet,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Rigatoni all'Amatriciana,17
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
DuMont Burger,"(40.7136213, -73.9620068)",Weekend,Pizza,19
DuMont Burger,"(40.7136213, -73.9620068)",Weekend,Hot Dogs,12
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Reuben Sandwich,20
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Hot Dogs,12
Bistango,"(40.7563844, -73.9713268)",Weekend,Pasta alla Gricia,13
Bistango,"(40.7563844, -73.9713268)",Weekend,Arancini,13
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,French Fries,18
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Hot Dogs,12
TAO,"(40.7625746, -73.9714449)",Weekend,Sashimi,20
TAO,"(40.7625746, -73.9714449)",Weekend,Nigiri,12
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Dumplings,15
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Sweet and Sour Pork Fillet,12
Jack's Wife Freda,"(40.7298568, -74.0035384)",Weekend,Greek Salad,14
Jack's Wife Freda,"(40.7298568, -74.0035384)",Weekend,Mediterranean Grilled Chicken + Dill Greek Yogurt Sauce,20
Jack's Wife Freda,"(40.7298568, -74.0035384)",Weekend,Greek Salad,13
Mamoun's Falafel,"(40.7288007, -73.9885054)",Weekend,Mediterranean Falafel Bowls,16
Mamoun's Falafel,"(40.7288007, -73.9885054)",Weekend,Mediterranean White Bean Soup,15
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekday,Ichiju-ju,13
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekday,Nigiri,12
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekday,Congee,20
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekday,Sweet and Sour Pork Fillet,12
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Hot Dogs,12
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Pizza,20
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Hot Dogs,12
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Reuben Sandwich,15
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Tater Tots,13
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Sashimi,14
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Sashimi,19
Cafe Habana,"(40.7228449, -73.9942284)",Weekend,Guacamole,12
Cafe Habana,"(40.7228449, -73.9942284)",Weekend,Guacamole,12
Westville Hudson,"(40.7272539, -74.0075081)",Weekday,Hot Dogs,12
Westville Hudson,"(40.7272539, -74.0075081)",Weekday,Hot Dogs,12
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Burgers,17
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Hot Dogs,12
Blue Ribbon Brooklyn,"(40.6249044, -73.962921)",Weekday,Buffalo Chicken Wings,13
