order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time,restaurant_location,customer_location
1477147,337525,Hangawi,Korean,30.75,Weekend,Not given,25,20,"(40.7466917, -73.9846896)","(40.71552291926138, -73.95354045500503)"
1477070,66393,Cafe Habana,Mexican,12.23,Weekday,5,23,28,"(40.7228449, -73.9942284)","(40.69931380596823, -73.94343883086347)"
1477334,106968,Blue Ribbon Fried Chicken,American,29.2,Weekend,3,25,15,"(40.7244607, -73.9909251)","(40.75121868942861, -74.00647157180671)"
1477224,147468,Tamarind TriBeCa,Indian,25.22,Weekday,3,20,24,"(40.7191453, -74.0089504)","(40.71107221536038, -73.96434718304609)"
1477894,157711,The Meatball Shop,Italian,6.07,Weekend,Not given,28,21,"(40.7651951, -73.9874674)","(40.78946230475219, -74.02152659612202)"
1477859,89574,Barbounia,Mediterranean,5.97,Weekday,3,33,30,"(40.7382829, -73.9880343)","(40.714314007222725, -73.91647804862659)"
1477895,143926,Big Wong Restaurant _¤¾Ñ¼,Chinese,5.92,Weekday,Not given,34,28,"(40.716997, -73.9591501)","(40.7514545587278, -74.00389677943744)"
1476966,129969,Blue Ribbon Fried Chicken,American,24.3,Weekend,5,23,17,"(40.7244607, -73.9909251)","(40.74160536851638, -74.02476250208447)"
1477449,104548,Pylos,Mediterranean,11.3,Weekend,3,24,23,"(40.7261637, -73.9840813)","(40.766262686795514, -73.98959224494178)"
1477414,66222,Shake Shack,American,16.2,Weekend,5,33,25,"(40.7513742, -73.9878729)","(40.7063786527437, -74.01374472299817)"
1477486,104555,Sushi of Gari,Japanese,16.98,Weekend,Not given,30,16,"(40.7713448, -73.95278)","(40.794940445768226, -73.97253013659197)"
1477138,47280,RedFarm Hudson,Chinese,14.12,Weekend,4,25,24,"(40.7341879, -74.0064162)","(40.71779178273324, -74.0468350483659)"
1477354,67487,Blue Ribbon Sushi,Japanese,16.2,Weekend,4,35,26,"(40.7079524, -74.0078296)","(40.7106836999934, -73.94336063634479)"
1478226,137565,Shake Shack,American,15.91,Weekend,Not given,25,20,"(40.7513742, -73.9878729)","(40.7167682155051, -74.01011638515745)"
1478287,150599,Shake Shack,American,29.1,Weekday,5,21,30,"(40.7513742, -73.9878729)","(40.76121703730949, -74.05776119111195)"
1478014,54630,Tortaria,Mexican,8.92,Weekend,Not given,33,16,"(40.7338759, -73.993044)","(40.718926510827536, -73.95849855922638)"
1476714,363783,Cafe Mogador,Middle Eastern,15.86,Weekday,Not given,32,29,"(40.7273469, -73.984402)","(40.68992988034134, -74.01988868317606)"
1476693,41877,Cafe Mogador,Middle Eastern,29.1,Weekday,5,20,29,"(40.7273469, -73.984402)","(40.77530037305263, -74.00127635693086)"
1476995,371590,The Meatball Shop,Italian,21.88,Weekday,5,24,27,"(40.7651951, -73.9874674)","(40.809979480345774, -73.99499854793052)"
1476889,149984,Sushi of Gari 46,Japanese,12.18,Weekday,Not given,20,29,"(40.7606902, -73.9895916)","(40.73334216397803, -73.94286520613139)"
1478289,318874,The Kati Roll Company,Indian,31.33,Weekend,5,28,25,"(40.7526965, -73.9846551)","(40.748115475303386, -74.04586583216724)"
1477699,302790,Klong,Thai,29.05,Weekend,5,35,24,"(40.7294123, -73.9892486)","(40.73582804007092, -73.93686923002906)"
1476855,317794,5 Napkin Burger,American,8.39,Weekday,Not given,35,24,"(40.7601614, -73.9911074)","(40.779902131009834, -73.95402751311455)"
1477748,105349,TAO,Japanese,9.12,Weekend,Not given,34,18,"(40.7625746, -73.9714449)","(40.750098909223, -74.00373661234622)"
1478244,181782,Parm,Italian,29.1,Weekend,5,30,26,"(40.7230381, -73.9957182)","(40.70587431683619, -73.93766336464051)"
1478017,148649,Blue Ribbon Sushi,Japanese,16.01,Weekday,4,23,31,"(40.7079524, -74.0078296)","(40.65196871666837, -74.03222247969109)"
1476871,118709,The Meatball Shop,Italian,24.3,Weekday,4,31,29,"(40.7651951, -73.9874674)","(40.73368547822395, -74.03750514544237)"
1476891,220693,Shake Shack,American,19.89,Weekend,Not given,27,19,"(40.7513742, -73.9878729)","(40.77062350910633, -73.95525216672455)"
1478143,337525,TAO,Japanese,33.22,Weekend,Not given,23,19,"(40.7625746, -73.9714449)","(40.73977396681211, -73.98360769624982)"
1477267,133637,RedFarm Broadway,Chinese,24.25,Weekend,5,22,15,"(40.7820656, -73.9806368)","(40.77510155963151, -74.01584880001423)"
1476581,322162,The Meatball Shop,Italian,6.74,Weekend,5,29,23,"(40.7651951, -73.9874674)","(40.75346981599497, -74.03225033947226)"
1476930,198802,DuMont Burger,American,29.05,Weekend,5,22,30,"(40.7136213, -73.9620068)","(40.7744363964292, -73.96355174765202)"
1478354,52037,Blue Ribbon Fried Chicken,American,19.89,Weekday,Not given,27,24,"(40.7244607, -73.9909251)","(40.710581711258875, -74.03490754357266)"
1477656,300003,Bistango,Italian,21.88,Weekend,Not given,21,19,"(40.7563844, -73.9713268)","(40.75087111762487, -73.93182832422954)"
1477883,91817,Blue Ribbon Fried Chicken,American,29.39,Weekend,Not given,27,28,"(40.7244607, -73.9909251)","(40.70066383209554, -74.04330718872264)"
1477205,112036,TAO,Japanese,20.23,Weekend,5,22,20,"(40.7625746, -73.9714449)","(40.771745927043355, -73.92360708774665)"
1478107,73895,RedFarm Broadway,Chinese,29.1,Weekend,Not given,22,23,"(40.7820656, -73.9806368)","(40.803201287088484, -73.93801615838473)"
1477760,130507,Jack's Wife Freda,Mediterranean,22.75,Weekend,3,35,29,"(40.7298568, -74.0035384)","(40.687482143163926, -73.97471170336385)"
1476562,129486,Mamoun's Falafel,Mediterranean,14.12,Weekend,3,31,15,"(40.7288007, -73.9885054)","(40.720935029857976, -73.9549227673248)"
1477692,313340,Sushi of Gari 46,Japanese,14.6,Weekday,3,24,24,"(40.7606902, -73.9895916)","(40.79377115121877, -74.01342191592038)"
1477889,177250,RedFarm Hudson,Chinese,12.23,Weekday,5,25,33,"(40.7341879, -74.0064162)","(40.779666794161884, -73.98100368935211)"
